"","X","doe","infer","idx","level","common","excess","miss","sim","succ","proj"
"13203",13202,"onehot_0","simple_bayes",1,"tstmt",4,0,17,0.19047619047619,"True","mbe"
"13204",13203,"onehot_0","simple_bayes",2,"wline",7,1,18,0.269230769230769,"True","mbe"
"13205",13204,"onehot_0","simple_bayes",2,"tline",8,0,17,0.32,"True","mbe"
"13206",13205,"onehot_0","simple_bayes",2,"tstmt",4,0,17,0.19047619047619,"True","mbe"
"13207",13206,"onehot_0","simple_bayes",3,"wline",34,2,8,0.772727272727273,"True","mbe"
"13208",13207,"onehot_0","simple_bayes",3,"tline",35,3,7,0.777777777777778,"True","mbe"
"13209",13208,"onehot_0","simple_bayes",3,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13210",13209,"onehot_0","simple_bayes",4,"wline",34,2,8,0.772727272727273,"True","mbe"
"13211",13210,"onehot_0","simple_bayes",4,"tline",35,3,7,0.777777777777778,"True","mbe"
"13212",13211,"onehot_0","simple_bayes",4,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13213",13212,"onehot_0","simple_bayes",5,"wline",34,2,8,0.772727272727273,"True","mbe"
"13214",13213,"onehot_0","simple_bayes",5,"tline",35,3,7,0.777777777777778,"True","mbe"
"13215",13214,"onehot_0","simple_bayes",5,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13216",13215,"onehot_0","simple_bayes",6,"wline",34,2,8,0.772727272727273,"True","mbe"
"13217",13216,"onehot_0","simple_bayes",6,"tline",35,3,7,0.777777777777778,"True","mbe"
"13218",13217,"onehot_0","simple_bayes",6,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13219",13218,"onehot_0","simple_bayes",7,"wline",34,2,8,0.772727272727273,"True","mbe"
"13220",13219,"onehot_0","simple_bayes",7,"tline",35,3,7,0.777777777777778,"True","mbe"
"13221",13220,"onehot_0","simple_bayes",7,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13222",13221,"onehot_0","simple_bayes",8,"wline",34,2,8,0.772727272727273,"True","mbe"
"13223",13222,"onehot_0","simple_bayes",8,"tline",35,3,7,0.777777777777778,"True","mbe"
"13224",13223,"onehot_0","simple_bayes",8,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13225",13224,"onehot_0","simple_bayes",9,"wline",17,3,17,0.459459459459459,"True","mbe"
"13226",13225,"onehot_0","simple_bayes",9,"tline",20,9,14,0.465116279069767,"True","mbe"
"13227",13226,"onehot_0","simple_bayes",9,"tstmt",19,1,10,0.633333333333333,"True","mbe"
"13228",13227,"onehot_0","simple_bayes",10,"wline",17,3,17,0.459459459459459,"True","mbe"
"13229",13228,"onehot_0","simple_bayes",10,"tline",20,8,14,0.476190476190476,"True","mbe"
"13230",13229,"onehot_0","simple_bayes",10,"tstmt",19,1,10,0.633333333333333,"True","mbe"
"13231",13230,"onehot_0","simple_bayes",11,"wline",17,3,17,0.459459459459459,"True","mbe"
"13232",13231,"onehot_0","simple_bayes",11,"tline",20,8,14,0.476190476190476,"True","mbe"
"13233",13232,"onehot_0","simple_bayes",11,"tstmt",19,1,10,0.633333333333333,"True","mbe"
"13234",13233,"onehot_0","simple_bayes",12,"wline",34,4,8,0.739130434782609,"True","mbe"
"13235",13234,"onehot_0","simple_bayes",12,"tline",40,0,2,0.952380952380952,"True","mbe"
"13236",13235,"onehot_0","simple_bayes",12,"tstmt",33,0,1,0.970588235294118,"True","mbe"
"13237",13236,"onehot_0","simple_bayes",13,"wline",36,2,6,0.818181818181818,"True","mbe"
"13238",13237,"onehot_0","simple_bayes",13,"tline",37,3,5,0.822222222222222,"True","mbe"
"13239",13238,"onehot_0","simple_bayes",13,"tstmt",32,2,2,0.888888888888889,"True","mbe"
"13240",13239,"onehot_0","simple_bayes",14,"wline",34,2,8,0.772727272727273,"True","mbe"
"13241",13240,"onehot_0","simple_bayes",14,"tline",35,3,7,0.777777777777778,"True","mbe"
"13242",13241,"onehot_0","simple_bayes",14,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13243",13242,"onehot_0","simple_bayes",15,"wline",34,2,8,0.772727272727273,"True","mbe"
"13244",13243,"onehot_0","simple_bayes",15,"tline",35,3,7,0.777777777777778,"True","mbe"
"13245",13244,"onehot_0","simple_bayes",15,"tstmt",31,2,3,0.861111111111111,"True","mbe"
"13246",13245,"onehot_0","simple_bayes",16,"wline",17,3,17,0.459459459459459,"True","mbe"
"13247",13246,"onehot_0","simple_bayes",16,"tline",20,8,14,0.476190476190476,"True","mbe"
"13248",13247,"onehot_0","simple_bayes",16,"tstmt",19,1,10,0.633333333333333,"True","mbe"
"24067",10530,"2hot_0","once_success",1,"wline",4,3,5,0.333333333333333,"True","mug"
"24068",10531,"2hot_0","once_success",1,"tline",7,0,2,0.777777777777778,"True","mug"
"24069",10532,"2hot_0","once_success",1,"tstmt",4,0,2,0.666666666666667,"True","mug"
"24070",10533,"2hot_0","once_success",2,"wline",5,3,5,0.384615384615385,"True","mug"
"24071",10534,"2hot_0","once_success",2,"tline",7,0,3,0.7,"True","mug"
